"ID_Usuario,Ciudad,Estrato_Socioeconomico,Tamaño_Hogar,Nivel_Educativo,Frecuencia_Reciclaje_Semanal,Kilogramos_Reciclados_Semana,Acceso_Punto_Ecologico,Puntaje_Conciencia_Ambiental,Participacion_Programa_Municipal"
1,Cali,2,4,Tecnico,4,9.48,1,8,1
2,Bucaramanga,2,1,Primaria,0,1.96,1,6,0
3,Bogota,4,1,Universitario,2,9.83,0,8,0
4,Cali,2,1,Universitario,1,9.47,0,5,0
5,Cali,2,1,Secundaria,0,3.46,0,8,0
6,Bucaramanga,6,3,Universitario,1,8.68,1,10,1
7,Bogota,4,1,Universitario,1,7.97,0,4,1
8,Bogota,6,4,Secundaria,2,12.32,1,10,0
9,Cali,6,5,Tecnico,1,12.7,1,8,1
10,Medellin,4,1,Universitario,1,0.91,0,10,0
11,Cali,1,3,Secundaria,2,7.49,0,2,1
12,Cali,6,3,Primaria,1,12.52,1,5,0
13,Cali,5,1,Tecnico,1,10.06,1,9,1
14,Cali,5,5,Primaria,1,17.13,0,4,1
15,Bucaramanga,2,1,Primaria,0,13.17,0,6,0
16,Bogota,5,3,Secundaria,0,3.26,0,1,1
17,Bucaramanga,2,2,Universitario,0,1.41,0,9,0
18,Bucaramanga,1,4,Secundaria,2,12.85,0,1,0
19,Bucaramanga,4,3,Secundaria,4,0.53,1,5,0
20,Cali,4,1,Secundaria,1,11.72,1,4,0
21,Medellin,4,4,Secundaria,1,18.8,1,3,1
22,Bogota,5,1,Tecnico,2,11.51,1,6,1
23,Medellin,1,1,Universitario,1,7.76,0,2,1
24,Bucaramanga,5,2,Primaria,0,12.87,0,3,0
25,Bucaramanga,5,4,Primaria,4,9.17,0,5,1
26,Medellin,1,4,Universitario,3,10.91,1,9,0
27,Medellin,1,2,Primaria,1,18.83,1,2,1
28,Medellin,1,3,Universitario,0,7.72,0,10,1
29,Bucaramanga,1,1,Primaria,3,19.22,0,8,1
30,Bucaramanga,4,5,Secundaria,4,18.11,1,2,0
31,Bogota,3,1,Primaria,3,3.92,1,5,1
32,Bogota,3,1,Universitario,0,1.39,0,7,1
33,Bucaramanga,1,3,Universitario,3,2.02,0,8,0
34,Medellin,3,1,Universitario,2,0.36,1,1,1
35,Medellin,3,2,Universitario,3,1.89,0,6,0
36,Bogota,1,2,Universitario,1,13.66,0,1,1
37,Bucaramanga,3,4,Tecnico,1,1.42,0,2,0
38,Bogota,5,5,Tecnico,2,6.38,1,1,0
39,Bogota,2,1,Primaria,0,16.9,1,5,1
40,Cali,2,1,Universitario,1,0.47,1,10,0
41,Cali,1,3,Primaria,4,16.29,1,9,0
42,Cali,4,2,Universitario,1,5.64,1,6,0
43,Medellin,1,5,Universitario,1,2.36,1,1,0
44,Bucaramanga,4,4,Tecnico,0,13.93,1,1,0
45,Bucaramanga,2,2,Tecnico,3,12.58,0,2,0
46,Bucaramanga,1,4,Secundaria,1,17.55,0,9,1
47,Bucaramanga,6,3,Tecnico,2,14.7,0,3,0
48,Cali,5,3,Secundaria,3,16.07,0,1,0
49,Medellin,3,1,Secundaria,4,5.64,0,5,1
50,Medellin,4,5,Secundaria,0,3.55,0,7,1
51,Cali,6,4,Secundaria,4,15.01,0,6,1
52,Medellin,3,2,Secundaria,3,16.14,1,1,1
53,Cali,3,3,Primaria,3,19.81,1,5,1
54,Bucaramanga,1,1,Tecnico,3,8.25,0,5,1
55,Cali,3,1,Secundaria,4,7.44,0,6,1
56,Bucaramanga,5,4,Universitario,3,15.53,1,3,0
57,Bucaramanga,6,3,Tecnico,4,6.82,0,5,0
58,Bogota,3,5,Tecnico,3,18.62,0,7,1
59,Cali,1,3,Secundaria,2,17.17,1,5,0
60,Bogota,5,4,Primaria,3,8.58,0,5,0
61,Cali,2,4,Secundaria,4,15.02,1,5,0
62,Cali,6,3,Primaria,1,15.09,0,10,1
63,Bogota,3,4,Universitario,3,2.06,1,10,1
64,Bogota,1,3,Tecnico,1,18.05,1,3,0
65,Cali,2,2,Universitario,2,10.11,1,1,1
66,Medellin,2,3,Primaria,0,16.53,0,5,0
67,Bucaramanga,4,3,Primaria,2,6.4,1,9,0
68,Bogota,5,4,Universitario,3,17.91,0,1,0
69,Bucaramanga,3,4,Primaria,1,7.78,0,3,0
70,Medellin,1,1,Universitario,1,0.22,0,4,1
71,Medellin,4,1,Tecnico,4,18.11,0,1,1
72,Medellin,5,2,Universitario,1,1.83,1,1,1
73,Bogota,4,1,Tecnico,4,6.39,1,8,0
74,Medellin,6,3,Universitario,0,19.0,0,2,1
75,Bogota,5,4,Primaria,3,19.01,0,8,0
76,Medellin,5,1,Universitario,4,11.47,1,7,1
77,Bucaramanga,3,1,Primaria,0,12.64,0,10,0
78,Bucaramanga,5,2,Universitario,1,8.97,1,10,0
79,Cali,4,2,Universitario,1,5.86,0,2,0
80,Bucaramanga,5,3,Secundaria,0,6.57,0,6,1
81,Cali,3,4,Primaria,1,13.45,1,6,1
82,Bucaramanga,3,2,Secundaria,0,15.05,0,3,1
83,Bogota,6,1,Primaria,4,15.83,1,2,1
84,Bucaramanga,4,4,Secundaria,4,15.79,0,1,0
85,Cali,2,4,Tecnico,0,1.82,0,6,1
86,Cali,2,1,Universitario,4,9.89,0,5,1
87,Medellin,5,2,Primaria,4,1.15,1,9,0
88,Bogota,6,1,Primaria,4,10.99,0,1,0
89,Bucaramanga,1,4,Universitario,2,8.83,0,7,0
90,Medellin,5,5,Primaria,3,17.75,0,5,1
91,Bucaramanga,6,5,Primaria,1,7.02,0,5,0
92,Bucaramanga,4,3,Secundaria,2,2.34,1,2,0
93,Medellin,4,1,Primaria,4,2.86,1,3,0
94,Medellin,4,1,Tecnico,0,15.23,0,7,1
95,Medellin,4,3,Tecnico,4,12.36,1,6,0
96,Medellin,4,3,Universitario,3,2.02,0,2,1
97,Medellin,6,3,Primaria,4,1.68,0,6,1
98,Bucaramanga,6,4,Universitario,0,14.02,0,2,0
99,Medellin,3,1,Tecnico,3,1.46,1,2,0
100,Bogota,2,4,Primaria,4,16.44,1,2,1

